Date,EmpID,Gender,Age,EthnicGroup,FP,TermDate,isNewHire,BU Region,HireDate,PayType,TermReason,AgeGroup,TenureDays,TenureMonths,BadHires
1/06/2017,1924,M,25,Group G,PT, , ,North,5/01/2012,Hourly, ,<30,513,17.1,0
1/06/2017,1950,M,38,Group A,PT, , ,North,27/08/2008,Hourly, ,30-49,1739,57.97,0
1/06/2017,1966,M,35,Group A,PT, , ,North,8/09/2012,Hourly, ,30-49,266,8.87,0
1/06/2017,2056,M,19,Group D,PT, ,Yes,Midwest,14/06/2013,Hourly, ,<30,0,0,0
1/06/2017,2090,M,25,Group G,PT, ,Yes,Midwest,21/06/2013,Hourly, ,<30,0,0,0
1/06/2017,4138,M,25,Group E,PT, , ,South,13/07/2012,Hourly, ,<30,323,10.77,0
1/06/2017,4340,F,24,Group B,PT, , ,South,1/11/2012,Hourly, ,<30,212,7.07,0
1/06/2017,5052,F,22,Group C,PT, , ,South,2/06/2011,Hourly, ,<30,730,24.33,0
1/06/2017,5202,M,24,Group E,PT, , ,North,12/08/2010,Hourly, ,<30,1024,34.13,0
1/06/2017,5238,M,18,Group D,PT, ,Yes,North,5/06/2013,Hourly, ,<30,0,0,0
1/06/2017,7104,F,24,Group E,PT, , ,North,20/03/2013,Hourly, ,<30,73,2.43,0
1/06/2017,8506,F,20,Group C,PT, , ,Midwest,12/09/2012,Hourly, ,<30,262,8.73,0
1/06/2017,9460,M,20,Group D,PT, , ,North,27/09/2011,Hourly, ,<30,613,20.43,0
1/06/2017,10742,F,24,Group G,PT, , ,South,20/06/2012,Hourly, ,<30,346,11.53,0
1/06/2017,16664,M,26,Group F,PT, , ,North,25/09/2008,Hourly, ,<30,1710,57,0
1/06/2017,16678,M,56,Group A,FT, , ,Northwest,7/06/2012,Hourly, ,50+,359,11.97,0
1/06/2017,16718,M,27,Group A,PT, , ,South,8/02/2013,Hourly, ,<30,113,3.77,0
1/06/2017,16730,F,76,Group E,FT, , ,North,24/05/2011,Hourly, ,50+,739,24.63,0
1/06/2017,17146,F,23,Group D,PT, , ,West,16/11/2010,Hourly, ,<30,928,30.93,0
1/06/2017,17362,F,28,Group B,FT, , ,East,20/12/2011,Hourly, ,<30,529,17.63,0
1/06/2017,17854,M,22,Group E,PT, , ,West,15/03/2012,Hourly, ,<30,443,14.77,0
