Date,EmpID,Gender,Age,EthnicGroup,FP,TermDate,isNewHire,BU Region,HireDate,PayType,TermReason,AgeGroup,TenureDays,TenureMonths,BadHires
1/08/2016,1924,M,24,Group G,PT, , ,North,5/01/2012,Hourly, ,<30,209,6.97,0
1/08/2016,1950,M,37,Group A,PT, , ,North,27/08/2008,Hourly, ,30-49,1435,47.83,0
1/08/2016,1954,F,24,Group E,PT, , ,North,12/05/2012,Hourly, ,<30,81,2.7,0
1/08/2016,4138,M,24,Group E,PT,1/08/2012, ,South,13/07/2012,Hourly,Involuntary,<30,19,0.63,1
1/08/2016,5052,F,21,Group C,PT, , ,South,2/06/2011,Hourly, ,<30,426,14.2,0
1/08/2016,5202,M,23,Group E,PT, , ,North,12/08/2010,Hourly, ,<30,720,24,0
1/08/2016,5242,F,24,Group D,PT, , ,North,26/04/2012,Hourly, ,<30,97,3.23,0
1/08/2016,9460,M,19,Group D,PT, , ,North,27/09/2011,Hourly, ,<30,309,10.3,0
1/08/2016,10742,F,23,Group G,PT,1/08/2012, ,South,20/06/2012,Hourly,Involuntary,<30,42,1.4,1
1/08/2016,16664,M,25,Group F,PT, , ,North,25/09/2008,Hourly, ,<30,1406,46.87,0
1/08/2016,16678,M,55,Group A,FT, , ,Northwest,7/06/2012,Hourly, ,50+,55,1.83,0
1/08/2016,16730,F,75,Group E,FT, , ,North,24/05/2011,Hourly, ,50+,435,14.5,0
1/08/2016,17146,F,22,Group D,PT, , ,West,16/11/2010,Hourly, ,<30,624,20.8,0
1/08/2016,17362,F,27,Group B,FT, , ,East,20/12/2011,Hourly, ,<30,225,7.5,0
1/08/2016,17854,M,21,Group E,PT, , ,West,15/03/2012,Hourly, ,<30,139,4.63,0
1/08/2016,18230,M,46,Group A,PT, , ,North,24/10/2007,Hourly, ,30-49,1743,58.1,0
1/08/2016,19600,F,22,Group A,FT, , ,Northwest,27/04/2011,Hourly, ,<30,462,15.4,0
1/08/2016,20706,M,43,Group F,PT, , ,South,21/07/2011,Hourly, ,30-49,377,12.57,0
1/08/2016,21208,M,28,Group A,FT, , ,Northwest,13/07/2000,Hourly, ,<30,4402,146.73,0
1/08/2016,21544,F,25,Group B,PT, , ,Northwest,2/09/2010,Hourly, ,<30,699,23.3,0
1/08/2016,22578,F,67,Group C,FT, , ,Northwest,5/05/2011,Hourly, ,50+,454,15.13,0
1/08/2016,23112,F,19,Group G,PT, , ,North,22/02/2012,Hourly, ,<30,161,5.37,0
1/08/2016,25640,M,24,Group D,PT, ,Yes,West,24/08/2012,Hourly, ,<30,0,0,0
1/08/2016,25882,F,20,Group D,PT, , ,Northwest,22/06/2012,Hourly, ,<30,40,1.33,0
1/08/2016,26228,M,54,Group D,PT, , ,North,17/09/2008,Hourly, ,50+,1414,47.13,0
1/08/2016,26954,M,86,Group B,PT, , ,West,27/08/2009,Hourly, ,50+,1070,35.67,0
