Date,EmpID,Gender,Age,EthnicGroup,FP,TermDate,isNewHire,BU Region,HireDate,PayType,TermReason,AgeGroup,TenureDays,TenureMonths,BadHires
1/07/2018,46,M,39,Group G,PT,31/07/2014,Yes,North,31/07/2014,Hourly,Voluntary,30-49,0,0,1
1/07/2018,724,F,28,Group A,PT,31/07/2014,Yes,North,31/07/2014,Hourly,Voluntary,<30,0,0,1
1/07/2018,1400,F,25,Group D,PT,31/07/2014,Yes,North,31/07/2014,Hourly,Voluntary,<30,0,0,1
1/07/2018,1422,M,21,Group B,PT,26/07/2014,Yes,North,24/07/2014,Hourly,Voluntary,<30,2,0.07,1
1/07/2018,1544,M,23,Group A,PT,17/07/2014, ,North,4/02/2014,Hourly,Voluntary,<30,163,5.43,0
1/07/2018,1608,F,21,Group E,PT,30/07/2014,Yes,North,30/07/2014,Hourly,Voluntary,<30,0,0,1
1/07/2018,1632,M,61,Group C,PT,31/07/2014,Yes,North,26/07/2014,Hourly,Voluntary,50+,5,0.17,1
1/07/2018,1632,M,61,Group C,PT, ,Yes,North,26/07/2014,Hourly, ,50+,0,0,0
1/07/2018,1636,M,54,Group E,PT, , ,North,11/06/2014,Hourly, ,50+,20,0.67,0
1/07/2018,1654,F,18,Group D,PT, , ,North,8/05/2014,Hourly, ,<30,54,1.8,0
1/07/2018,1786,M,18,Group F,PT,31/07/2014,Yes,North,30/07/2014,Hourly,Voluntary,<30,1,0.03,1
1/07/2018,1938,F,19,Group E,PT, , ,North,20/06/2014,Hourly, ,<30,11,0.37,0
1/07/2018,1940,M,19,Group E,PT, ,Yes,North,25/07/2014,Hourly, ,<30,0,0,0
1/07/2018,1942,F,24,Group G,PT, , ,North,22/05/2014,Hourly, ,<30,40,1.33,0
1/07/2018,1946,F,22,Group E,PT, , ,North,13/06/2014,Hourly, ,<30,18,0.6,0
1/07/2018,1948,M,22,Group B,PT, , ,North,4/06/2014,Hourly, ,<30,27,0.9,0
1/07/2018,1950,M,39,Group A,PT, , ,North,27/08/2008,Hourly, ,30-49,2134,71.13,0
1/07/2018,1958,M,22,Group B,PT,11/07/2014, ,North,21/08/2013,Hourly,Voluntary,<30,324,10.8,0
1/07/2018,1976,M,43,Group A,PT, , ,North,20/09/2013,Hourly, ,30-49,284,9.47,0
1/07/2018,1980,M,26,Group B,PT,8/07/2014, ,North,13/05/2014,Hourly,Voluntary,<30,56,1.87,1
1/07/2018,2142,M,22,Group G,PT,17/07/2014, ,Midwest,2/05/2014,Hourly,Voluntary,<30,76,2.53,0
1/07/2018,2160,F,22,Group B,PT,14/07/2014, ,Midwest,27/06/2014,Hourly,Voluntary,<30,17,0.57,1
1/07/2018,2266,M,28,Group B,PT,30/07/2014,Yes,Midwest,24/07/2014,Hourly,Voluntary,<30,6,0.2,1
1/07/2018,3194,M,20,Group B,PT, , ,Midwest,19/06/2014,Hourly, ,<30,12,0.4,0
1/07/2018,3326,M,29,Group E,PT, , ,Midwest,27/06/2014,Hourly, ,<30,4,0.13,0
1/07/2018,3492,M,26,Group G,PT,25/07/2014, ,Midwest,19/03/2014,Hourly,Voluntary,<30,128,4.27,0
1/07/2018,3498,M,18,Group A,PT,3/07/2014, ,Midwest,19/03/2014,Hourly,Voluntary,<30,106,3.53,0
1/07/2018,3500,M,19,Group C,PT, , ,Midwest,19/03/2014,Hourly, ,<30,104,3.47,0
1/07/2018,3560,M,20,Group D,PT,30/07/2014,Yes,Midwest,30/07/2014,Hourly,Voluntary,<30,0,0,1
1/07/2018,3958,F,20,Group C,PT, , ,South,29/05/2014,Hourly, ,<30,33,1.1,0
1/07/2018,4010,M,24,Group C,PT, , ,South,1/06/2014,Hourly, ,<30,30,1,0
1/07/2018,4014,F,24,Group C,PT, , ,South,1/06/2014,Hourly, ,<30,30,1,0
1/07/2018,4198,M,58,Group D,PT,25/07/2014, ,South,30/06/2014,Hourly,Voluntary,50+,25,0.83,1
1/07/2018,4458,M,20,Group A,PT, , ,South,30/04/2014,Hourly, ,<30,62,2.07,0
1/07/2018,4530,M,22,Group C,PT,14/07/2014, ,South,17/05/2014,Hourly,Voluntary,<30,58,1.93,1
1/07/2018,4594,M,18,Group C,PT,13/07/2014, ,South,28/06/2014,Hourly,Voluntary,<30,15,0.5,1
1/07/2018,5064,M,29,Group G,PT, , ,South,21/05/2014,Hourly, ,<30,41,1.37,0
1/07/2018,5068,M,21,Group A,PT, ,Yes,South,1/07/2014,Hourly, ,<30,0,0,0
1/07/2018,5088,M,53,Group B,PT, , ,South,4/06/2014,Hourly, ,50+,27,0.9,0
1/07/2018,5202,M,25,Group E,PT, , ,North,12/08/2010,Hourly, ,<30,1419,47.3,0
1/07/2018,5214,F,21,Group B,PT,5/07/2014, ,North,15/05/2014,Hourly,Voluntary,<30,51,1.7,1
1/07/2018,5224,F,22,Group A,PT,15/07/2014, ,North,20/05/2014,Hourly,Voluntary,<30,56,1.87,1
