Date,EmpID,Gender,Age,EthnicGroup,FP,TermDate,isNewHire,BU Region,HireDate,PayType,TermReason,AgeGroup,TenureDays,TenureMonths,BadHires
1/10/2017,1842,F,24,Group E,PT, , ,North,21/08/2013,Hourly, ,<30,41,1.37,0
1/10/2017,1920,F,20,Group A,PT, ,Yes,North,23/10/2013,Hourly, ,<30,0,0,0
1/10/2017,1924,M,25,Group G,PT, , ,North,5/01/2012,Hourly, ,<30,635,21.17,0
1/10/2017,1936,F,19,Group E,PT, , ,North,12/09/2013,Hourly, ,<30,19,0.63,0
1/10/2017,1950,M,38,Group A,PT, , ,North,27/08/2008,Hourly, ,30-49,1861,62.03,0
1/10/2017,1958,M,21,Group B,PT, , ,North,21/08/2013,Hourly, ,<30,41,1.37,0
1/10/2017,1966,M,35,Group A,PT, , ,North,8/09/2012,Hourly, ,30-49,388,12.93,0
1/10/2017,1972,M,20,Group F,PT, , ,North,26/09/2013,Hourly, ,<30,5,0.17,0
1/10/2017,1976,M,42,Group A,PT, , ,North,20/09/2013,Hourly, ,30-49,11,0.37,0
1/10/2017,1988,F,19,Group A,PT, , ,Midwest,24/08/2013,Hourly, ,<30,38,1.27,0
1/10/2017,2056,M,19,Group D,PT, , ,Midwest,14/06/2013,Hourly, ,<30,109,3.63,0
1/10/2017,2058,M,24,Group F,PT, , ,Midwest,8/08/2013,Hourly, ,<30,54,1.8,0
1/10/2017,2090,M,25,Group G,PT, , ,Midwest,21/06/2013,Hourly, ,<30,102,3.4,0
1/10/2017,2202,F,22,Group C,PT, ,Yes,Midwest,31/10/2013,Hourly, ,<30,0,0,0
1/10/2017,3954,M,41,Group B,PT, , ,South,19/09/2013,Hourly, ,30-49,12,0.4,0
1/10/2017,4076,F,26,Group B,PT, , ,South,15/08/2013,Hourly, ,<30,47,1.57,0
1/10/2017,4138,M,25,Group E,PT, , ,South,13/07/2012,Hourly, ,<30,445,14.83,0
1/10/2017,4154,M,40,Group D,PT, , ,South,7/08/2013,Hourly, ,30-49,55,1.83,0
1/10/2017,4340,F,24,Group B,PT, , ,South,1/11/2012,Hourly, ,<30,334,11.13,0
1/10/2017,5052,F,22,Group C,PT, , ,South,2/06/2011,Hourly, ,<30,852,28.4,0
1/10/2017,5202,M,24,Group E,PT, , ,North,12/08/2010,Hourly, ,<30,1146,38.2,0
1/10/2017,5216,F,19,Group A,PT, ,Yes,North,30/10/2013,Hourly, ,<30,0,0,0
1/10/2017,5238,M,18,Group D,PT, , ,North,5/06/2013,Hourly, ,<30,118,3.93,0
1/10/2017,5268,M,19,Group A,PT, , ,North,16/08/2013,Hourly, ,<30,46,1.53,0
1/10/2017,7104,F,24,Group E,PT, , ,North,20/03/2013,Hourly, ,<30,195,6.5,0
1/10/2017,8506,F,20,Group C,PT, , ,Midwest,12/09/2012,Hourly, ,<30,384,12.8,0
1/10/2017,9460,M,20,Group D,PT, , ,North,27/09/2011,Hourly, ,<30,735,24.5,0
1/10/2017,9492,M,33,Group E,PT, , ,North,8/08/2013,Hourly, ,30-49,54,1.8,0
1/10/2017,9500,M,55,Group G,PT, , ,North,13/09/2013,Hourly, ,50+,18,0.6,0
1/10/2017,9502,M,53,Group F,PT, , ,North,20/08/2013,Hourly, ,50+,42,1.4,0
1/10/2017,9962,M,33,Group B,PT, ,Yes,North,26/10/2013,Hourly, ,30-49,0,0,0
1/10/2017,10522,M,22,Group E,PT, , ,South,7/08/2013,Hourly, ,<30,55,1.83,0
1/10/2017,10742,F,24,Group G,PT, , ,South,20/06/2012,Hourly, ,<30,468,15.6,0
1/10/2017,10786,M,25,Group B,PT, ,Yes,South,16/10/2013,Hourly, ,<30,0,0,0
1/10/2017,10854,F,19,Group G,PT, ,Yes,South,31/10/2013,Hourly, ,<30,0,0,0
1/10/2017,10970,F,21,Group E,PT, , ,South,8/08/2013,Hourly, ,<30,54,1.8,0
1/10/2017,10980,M,21,Group D,PT, , ,South,12/07/2013,Hourly, ,<30,81,2.7,0
1/10/2017,11388,F,20,Group D,PT, ,Yes,South,23/10/2013,Hourly, ,<30,0,0,0
1/10/2017,14786,M,18,Group B,PT, ,Yes,East,15/10/2013,Hourly, ,<30,0,0,0
1/10/2017,16444,M,20,Group G,PT, ,Yes,Northwest,31/10/2013,Hourly, ,<30,0,0,0
1/10/2017,16664,M,26,Group F,PT, , ,North,25/09/2008,Hourly, ,<30,1832,61.07,0
1/10/2017,16672,F,24,Group G,PT, , ,Midwest,7/08/2013,Hourly, ,<30,55,1.83,0
1/10/2017,16678,M,56,Group A,FT, , ,Northwest,7/06/2012,Hourly, ,50+,481,16.03,0
1/10/2017,16718,M,27,Group A,PT, , ,South,8/02/2013,Hourly, ,<30,235,7.83,0
1/10/2017,16730,F,76,Group E,FT, , ,North,24/05/2011,Hourly, ,50+,861,28.7,0
1/10/2017,17056,F,19,Group C,PT, , ,West,5/07/2013,Hourly, ,<30,88,2.93,0
1/10/2017,17146,F,23,Group D,PT, , ,West,16/11/2010,Hourly, ,<30,1050,35,0
1/10/2017,17184,F,22,Group E,FT, , ,East,24/08/2013,Hourly, ,<30,38,1.27,0
1/10/2017,17268,F,20,Group C,PT, , ,West,20/08/2013,Hourly, ,<30,42,1.4,0
1/10/2017,17362,F,28,Group B,FT, , ,East,20/12/2011,Hourly, ,<30,651,21.7,0
1/10/2017,17548,M,25,Group E,PT, , ,East,17/09/2013,Hourly, ,<30,14,0.47,0
1/10/2017,17754,M,30,Group C,PT, , ,Northwest,15/08/2013,Hourly, ,30-49,47,1.57,0
1/10/2017,17854,M,22,Group E,PT, , ,West,15/03/2012,Hourly, ,<30,565,18.83,0
