Date,EmpID,Gender,Age,EthnicGroup,FP,TermDate,isNewHire,BU Region,HireDate,PayType,TermReason,AgeGroup,TenureDays,TenureMonths,BadHires
1/08/2018,328,F,19,Group B,PT,23/08/2014, ,North,31/07/2014,Hourly,Voluntary,<30,23,0.77,1
1/08/2018,470,M,27,Group A,PT,24/08/2014, ,North,30/07/2014,Hourly,Voluntary,<30,25,0.83,1
1/08/2018,688,F,19,Group A,PT,27/08/2014,Yes,North,27/08/2014,Hourly,Voluntary,<30,0,0,1
1/08/2018,1348,F,31,Group C,PT,6/08/2014,Yes,North,1/08/2014,Hourly,Voluntary,30-49,5,0.17,1
1/08/2018,1568,M,20,Group F,PT, ,Yes,North,21/08/2014,Hourly, ,<30,0,0,0
1/08/2018,1622,F,31,Group G,PT,30/08/2014,Yes,North,28/08/2014,Hourly,Voluntary,30-49,2,0.07,1
1/08/2018,1636,M,54,Group E,PT,20/08/2014, ,North,11/06/2014,Hourly,Voluntary,50+,70,2.33,0
1/08/2018,1654,F,18,Group D,PT, , ,North,8/05/2014,Hourly, ,<30,85,2.83,0
1/08/2018,1736,M,20,Group F,PT,31/08/2014, ,North,30/07/2014,Hourly,Voluntary,<30,32,1.07,1
1/08/2018,1928,M,47,Group F,PT,7/08/2014, ,North,31/07/2014,Hourly,Voluntary,30-49,7,0.23,1
1/08/2018,1938,F,19,Group E,PT,7/08/2014, ,North,20/06/2014,Hourly,Voluntary,<30,48,1.6,1
1/08/2018,1940,M,19,Group E,PT, , ,North,25/07/2014,Hourly, ,<30,7,0.23,0
1/08/2018,1942,F,24,Group G,PT,7/08/2014, ,North,22/05/2014,Hourly,Voluntary,<30,77,2.57,0
1/08/2018,1946,F,22,Group E,PT,10/08/2014, ,North,13/06/2014,Hourly,Voluntary,<30,58,1.93,1
1/08/2018,1948,M,22,Group B,PT,13/08/2014, ,North,4/06/2014,Hourly,Voluntary,<30,70,2.33,0
1/08/2018,1950,M,39,Group A,PT, , ,North,27/08/2008,Hourly, ,30-49,2165,72.17,0
1/08/2018,1954,F,26,Group E,PT,11/08/2014, ,North,12/05/2012,Hourly,Voluntary,<30,821,27.37,0
1/08/2018,1976,M,43,Group A,PT, , ,North,20/09/2013,Hourly, ,30-49,315,10.5,0
1/08/2018,2150,M,23,Group G,PT,26/08/2014, ,Midwest,31/07/2014,Hourly,Voluntary,<30,26,0.87,1
1/08/2018,3194,M,20,Group B,PT,17/08/2014, ,Midwest,19/06/2014,Hourly,Voluntary,<30,59,1.97,1
1/08/2018,3276,F,19,Group B,PT,7/08/2014, ,Midwest,31/07/2014,Hourly,Voluntary,<30,7,0.23,1
1/08/2018,3326,M,29,Group E,PT, , ,Midwest,27/06/2014,Hourly, ,<30,35,1.17,0
1/08/2018,3500,M,19,Group C,PT, , ,Midwest,19/03/2014,Hourly, ,<30,135,4.5,0
1/08/2018,3958,F,20,Group C,PT,19/08/2014, ,South,29/05/2014,Hourly,Voluntary,<30,82,2.73,0
1/08/2018,4010,M,24,Group C,PT, , ,South,1/06/2014,Hourly, ,<30,61,2.03,0
1/08/2018,4014,F,24,Group C,PT, , ,South,1/06/2014,Hourly, ,<30,61,2.03,0
1/08/2018,4446,M,18,Group F,PT,30/08/2014,Yes,South,28/08/2014,Hourly,Voluntary,<30,2,0.07,1
1/08/2018,4458,M,20,Group A,PT,5/08/2014, ,South,30/04/2014,Hourly,Voluntary,<30,97,3.23,0
1/08/2018,4924,M,19,Group E,PT,25/08/2014, ,South,30/07/2014,Hourly,Voluntary,<30,26,0.87,1
1/08/2018,4950,M,18,Group F,PT, ,Yes,South,28/08/2014,Hourly, ,<30,0,0,0
1/08/2018,5064,M,29,Group G,PT, , ,South,21/05/2014,Hourly, ,<30,72,2.4,0
1/08/2018,5068,M,21,Group A,PT, , ,South,1/07/2014,Hourly, ,<30,31,1.03,0
1/08/2018,5088,M,53,Group B,PT, , ,South,4/06/2014,Hourly, ,50+,58,1.93,0
1/08/2018,5202,M,25,Group E,PT, , ,North,12/08/2010,Hourly, ,<30,1450,48.33,0
1/08/2018,5254,F,24,Group B,PT, ,Yes,North,28/08/2014,Hourly, ,<30,0,0,0
1/08/2018,5268,M,20,Group A,PT, , ,North,16/08/2013,Hourly, ,<30,350,11.67,0
1/08/2018,5296,F,22,Group D,PT, , ,Midwest,27/06/2014,Hourly, ,<30,35,1.17,0
1/08/2018,5746,F,56,Group F,PT,18/08/2014,Yes,Midwest,1/08/2014,Hourly,Voluntary,50+,17,0.57,1
1/08/2018,6194,F,31,Group F,PT,1/08/2014,Yes,North,1/08/2014,Hourly,Voluntary,30-49,0,0,1
1/08/2018,6412,M,33,Group E,PT,2/08/2014, ,North,31/07/2014,Hourly,Voluntary,30-49,2,0.07,1
1/08/2018,6738,M,22,Group C,PT,2/08/2014, ,North,31/07/2014,Hourly,Voluntary,<30,2,0.07,1
1/08/2018,6998,F,24,Group F,PT, ,Yes,South,29/08/2014,Hourly, ,<30,0,0,0
1/08/2018,7004,F,18,Group D,PT, ,Yes,Midwest,5/08/2014,Hourly, ,<30,0,0,0
1/08/2018,7016,M,20,Group A,PT, , ,South,23/05/2014,Hourly, ,<30,70,2.33,0
1/08/2018,7062,M,26,Group A,PT, , ,North,6/06/2014,Hourly, ,<30,56,1.87,0
1/08/2018,7110,F,19,Group A,PT,25/08/2014, ,North,30/07/2014,Hourly,Voluntary,<30,26,0.87,1
1/08/2018,7114,M,22,Group B,PT,8/08/2014, ,North,31/07/2014,Hourly,Voluntary,<30,8,0.27,1
