Date,EmpID,Gender,Age,EthnicGroup,FP,TermDate,isNewHire,BU Region,HireDate,PayType,TermReason,AgeGroup,TenureDays,TenureMonths,BadHires
1/09/2016,1924,M,24,Group G,PT, , ,North,5/01/2012,Hourly, ,<30,240,8,0
1/09/2016,1950,M,37,Group A,PT, , ,North,27/08/2008,Hourly, ,30-49,1466,48.87,0
1/09/2016,1954,F,24,Group E,PT, , ,North,12/05/2012,Hourly, ,<30,112,3.73,0
1/09/2016,1966,M,34,Group A,PT, ,Yes,North,8/09/2012,Hourly, ,30-49,0,0,0
1/09/2016,4138,M,24,Group E,PT,1/09/2012, ,South,13/07/2012,Hourly,Involuntary,<30,50,1.67,1
1/09/2016,5052,F,21,Group C,PT, , ,South,2/06/2011,Hourly, ,<30,457,15.23,0
1/09/2016,5202,M,23,Group E,PT, , ,North,12/08/2010,Hourly, ,<30,751,25.03,0
1/09/2016,5242,F,24,Group D,PT, , ,North,26/04/2012,Hourly, ,<30,128,4.27,0
1/09/2016,8506,F,19,Group C,PT, ,Yes,Midwest,12/09/2012,Hourly, ,<30,0,0,0
1/09/2016,9460,M,19,Group D,PT, , ,North,27/09/2011,Hourly, ,<30,340,11.33,0
1/09/2016,10742,F,23,Group G,PT, , ,South,20/06/2012,Hourly, ,<30,73,2.43,0
1/09/2016,16664,M,25,Group F,PT, , ,North,25/09/2008,Hourly, ,<30,1437,47.9,0
1/09/2016,16678,M,55,Group A,FT, , ,Northwest,7/06/2012,Hourly, ,50+,86,2.87,0
1/09/2016,16730,F,75,Group E,FT, , ,North,24/05/2011,Hourly, ,50+,466,15.53,0
1/09/2016,17146,F,22,Group D,PT, , ,West,16/11/2010,Hourly, ,<30,655,21.83,0
1/09/2016,17362,F,27,Group B,FT, , ,East,20/12/2011,Hourly, ,<30,256,8.53,0
1/09/2016,17854,M,21,Group E,PT, , ,West,15/03/2012,Hourly, ,<30,170,5.67,0
1/09/2016,17998,M,45,Group C,PT, ,Yes,Northwest,2/09/2012,Hourly, ,30-49,0,0,0
1/09/2016,18230,M,46,Group A,PT, , ,North,24/10/2007,Hourly, ,30-49,1774,59.13,0
1/09/2016,19130,F,42,Group F,PT, ,Yes,North,14/09/2012,Hourly, ,30-49,0,0,0
1/09/2016,19600,F,22,Group A,FT, , ,Northwest,27/04/2011,Hourly, ,<30,493,16.43,0
1/09/2016,20706,M,43,Group F,PT, , ,South,21/07/2011,Hourly, ,30-49,408,13.6,0
1/09/2016,21208,M,28,Group A,FT, , ,Northwest,13/07/2000,Hourly, ,<30,4433,147.77,0
1/09/2016,21544,F,25,Group B,PT, , ,Northwest,2/09/2010,Hourly, ,<30,730,24.33,0
